Subjects,Latent-Semantic-1,Latent-Semantic-2
Subject-12,60.66837044657982,-36.8421556422717
Subject-27,57.099149055370745,37.69423035225055
Subject-23,54.91778773559581,-19.914458602372633
Subject-13,54.22938969762144,-12.681451847100933
Subject-18,47.47875924290793,-26.99685027951393
Subject-9,44.70253841763562,-35.30672685085467
Subject-38,44.16042804840557,-38.4556075439335
Subject-5,43.12053372499062,-30.78401815558761
Subject-10,42.92053049737327,6.341332632577492
Subject-21,42.47345694181531,4.8398007726224375
Subject-40,39.58022787701305,-32.95187593311407
Subject-6,38.00297908233033,-22.21882831895951
Subject-7,32.11502536183433,-15.549647583521766
Subject-4,29.651080068338718,15.945526676545033
Subject-15,27.72269542203121,30.908046241123152
Subject-25,26.48288607747955,-0.6578093511876533
Subject-14,26.39863903927327,7.616730269032909
Subject-26,22.382993034369385,-17.197213374442395
Subject-19,22.072087008059277,59.95223317675633
Subject-1,20.56675062582268,-18.65956859609912
Subject-20,11.748147372994415,13.76314354351723
Subject-2,10.157196330229784,71.5381151439306
Subject-17,7.781125725895288,-47.428354390672965
Subject-36,6.731322736553314,-18.79469810774284
Subject-3,5.490570101750222,14.951931753551586
Subject-16,-0.69387407235089,21.14866088634448
Subject-35,-1.7975515423712636,-22.20449345385027
Subject-11,-14.164576721148771,98.54529780215674
Subject-8,-17.059041792370003,60.7312724664293
Subject-37,-28.076042669403193,-13.471282451470831
Subject-30,-33.46252602187912,-15.53173247563017
Subject-31,-43.81276649778015,1.2614465006214548
Subject-28,-45.34847812290106,59.34428748920949
Subject-32,-47.20052599900212,102.58983553340542
Subject-29,-49.66485388038762,3.163835983233393
Subject-39,-64.00650498392994,-12.117683580357177
Subject-24,-71.18786276176078,2.2529619931108615
Subject-33,-85.34551182216798,-7.587471713082769
Subject-22,-155.71891205688794,-93.5239299229949
Subject-34,-159.0589656653481,-75.57878790126703
