Subject,Latent-Semantic-1,Latent-Semantic-2,Latent-Semantic-3,Latent-Semantic-4
37,0.41930357,0.37964922,0.1846759,-0.25685194
21,0.4084947,0.011895702,-0.2470244,0.2570934
29,0.32914713,0.52565,0.21254309,-0.025333477
13,0.29675722,-0.1429908,-0.38243985,0.5049662
20,0.28566128,-0.41802037,0.026441198,-0.22860895
5,0.27764708,-0.04846019,-0.24632606,0.14238745
36,0.25899398,0.033063482,0.33793598,-0.016197195
28,0.25151488,-0.49031338,0.64688367,0.2743339
12,0.23596552,-0.30965203,-0.25011447,-0.64467573
4,0.20739958,-0.07089882,-0.16822541,-0.19223642
22,0.08514217,0.0609405,-0.07515922,0.055498846
19,0.082124166,0.021594586,-0.04867447,-0.015707757
3,0.08043137,0.06868739,-0.035953388,0.020746917
35,0.08022898,0.108992845,-0.003200925,0.014627652
6,0.0783295,0.036739647,-0.018086787,0.0011400044
38,0.07692753,0.06408019,0.020269442,0.002874154
11,0.071019374,0.07419906,-0.038636036,0.014657963
14,0.070417956,0.05690773,-0.030580988,0.018831663
27,0.06788451,0.032676406,-0.08313615,0.054519698
30,0.067878164,0.035215918,-0.084370784,0.05252928
2,0.045095216,0.00867309,-0.0008948473,-0.0014174555
7,0.04324687,-0.012860721,0.011083468,-0.014858057
23,0.042428806,-0.0027161695,-0.016171101,0.013747352
34,0.041877016,0.018673405,0.015380167,-0.0007541476
18,0.0399954,-0.027797628,0.0003663049,-0.028582146
39,0.038925473,-0.011512135,0.030980632,-0.008407094
10,0.035064846,0.0054242457,0.003878994,-0.006399755
15,0.034520775,-0.0045905546,0.008653573,-0.006454424
26,0.031836517,-0.018338373,-0.013305003,0.0021319052
31,0.031832654,-0.017193036,-0.013472555,-0.0029930836
1,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
